A,A_print,F,p_star,p_max,PPR,AI,zone,length_cm,width_cm,participant,side,footstep
57.0,115.5,593.525,104.12719298245614,302.0,2.900299060696685,0.14522821576763487,forefoot,27.0,10.5,3,L,10
67.75,145.0,946.6750000000001,139.73062730627308,551.0,3.943301555444054,0.25894378194207834,forefoot,27.5,11.5,3,R,11
60.0,118.5,663.875,110.64583333333333,454.0,4.103182074938807,0.22088353413654618,heel,26.5,9.0,3,L,13
81.75,136.5,773.0500000000001,94.56269113149848,299.0,3.161923549576353,0.2578947368421053,heel,26.5,11.0,3,R,14
56.25,114.25,662.4,117.76,484.0,4.110054347826087,0.24356435643564356,heel,26.5,10.0,3,L,15
69.0,125.0,596.3000000000001,86.42028985507248,468.0,5.415394935435183,0.2550091074681239,heel,27.0,10.0,3,R,16
66.5,131.5,779.2,117.17293233082708,677.0,5.777784907597535,0.2543352601156069,forefoot,27.0,10.0,3,L,17
53.25,119.75,663.625,124.6244131455399,367.0,2.944848370691279,0.20889748549323017,forefoot,27.0,10.0,3,L,20
56.25,128.5,635.575,112.99111111111112,387.0,3.425048184714628,0.2691588785046729,forefoot,26.5,10.0,3,R,21
63.25,121.75,578.65,91.48616600790514,295.0,3.224531236498747,0.308529945553539,heel,28.5,10.0,3,L,22
77.25,128.25,681.475,88.21682847896442,445.0,5.044389009134597,0.2854368932038835,heel,27.0,10.5,3,R,23
64.25,128.0,552.1750000000001,85.94163424124515,251.0,2.9205867704984825,0.25868725868725867,heel,27.0,9.5,3,L,24
98.0,130.0,840.2,85.73469387755102,342.0,3.989050226136634,0.25333333333333335,heel,24.5,11.5,3,R,26
64.25,136.5,600.725,93.49805447470817,294.0,3.1444504556993635,0.24956063268892795,forefoot,26.5,10.5,3,L,27
59.0,128.25,712.8000000000001,120.81355932203391,580.0,4.800785634118967,0.2618629173989455,forefoot,26.5,11.0,3,R,28
67.25,129.5,669.325,99.5278810408922,1488.0,14.95058454413028,0.24214417744916822,midfoot,26.5,10.5,3,L,29
56.25,131.0,572.9250000000001,101.85333333333334,280.0,2.749050922895667,0.24956369982547993,forefoot,26.0,10.5,3,R,30
81.0,141.0,946.75,116.88271604938272,546.0,4.671349353049908,0.24952380952380954,heel,27.0,10.5,3,L,31
56.75,125.25,548.4250000000001,96.63876651982379,371.0,3.839039066417468,0.2557726465364121,heel,26.0,10.5,3,L,32
81.25,125.5,638.875,78.63076923076923,409.0,5.201526120133046,0.24282982791587,heel,25.5,11.0,3,R,33
74.75,129.5,700.775,93.74916387959867,401.0,4.277371481573971,0.26118067978533094,heel,26.0,11.0,3,L,34
46.75,114.75,512.475,109.62032085561498,463.0,4.223669447290112,0.248046875,forefoot,25.5,10.5,3,R,35
66.5,130.5,612.6,92.12030075187971,343.0,3.723392099249102,0.25464684014869887,heel,26.5,10.0,3,L,36
57.5,136.5,627.775,109.17826086956522,349.0,3.1966070646330293,0.252991452991453,forefoot,26.5,10.5,3,R,37
67.25,132.25,752.8000000000001,111.94052044609667,304.0,2.7157279489904353,0.24448529411764705,forefoot,26.5,10.5,3,L,38
56.5,133.75,636.825,112.712389380531,292.0,2.590664625289522,0.2290909090909091,forefoot,26.0,11.0,3,R,39
61.75,117.25,647.95,104.93117408906883,475.0,4.5267767574658535,0.24181818181818182,heel,26.5,10.5,3,L,40
55.5,123.25,611.9,110.25225225225225,456.0,4.1359699297270796,0.24615384615384617,forefoot,25.5,10.0,3,R,41
69.25,124.25,491.975,71.04332129963899,279.0,3.9271812592103257,0.26285714285714284,heel,25.5,10.5,3,L,42
51.5,116.25,502.8,97.63106796116506,241.0,2.468476531424025,0.250501002004008,forefoot,24.5,11.0,3,R,44
60.5,122.5,629.825,104.10330578512398,317.0,3.0450521970388595,0.267578125,heel,25.5,10.5,3,L,45
85.5,130.25,657.1,76.85380116959064,313.0,4.07266778268148,0.24403669724770644,heel,26.5,10.5,3,R,46
60.5,123.75,550.625,91.01239669421489,261.0,2.8677412031782064,0.25769230769230766,forefoot,27.0,10.5,3,L,47
51.0,115.75,569.5,111.66666666666666,389.0,3.483582089552239,0.24796747967479674,forefoot,26.0,10.5,3,R,48
63.5,133.0,840.5250000000001,132.3661417322835,425.0,3.210790874750899,0.24632352941176472,toes,26.5,10.5,3,L,49
54.75,112.0,557.9,101.89954337899543,346.0,3.3955009858397562,0.25158562367864695,forefoot,25.0,10.0,3,R,52
66.75,133.0,801.25,120.03745318352058,640.0,5.331669266770672,0.23224568138195778,forefoot,27.0,10.5,3,L,53
53.25,123.25,512.5,96.24413145539907,305.0,3.169024390243902,0.24277456647398843,forefoot,26.0,10.5,3,R,54
77.0,122.75,526.225,68.3409090909091,330.0,4.828732956434985,0.25471698113207547,heel,26.5,10.5,3,L,55
68.0,131.75,1009.725,148.4889705882353,612.0,4.121518235163039,0.23507462686567165,forefoot,27.5,11.5,3,R,56
49.75,109.0,420.52500000000003,84.52763819095478,204.0,2.4134118066702337,0.2776659959758551,forefoot,24.5,10.0,3,L,58
52.25,124.0,724.6750000000001,138.69377990430627,949.0,6.842412115776035,0.2662835249042146,forefoot,25.5,10.5,3,R,59
67.25,129.5,667.25,99.21933085501858,366.0,3.6887973023604346,0.25735294117647056,forefoot,26.0,10.5,3,L,60
82.0,130.5,586.6750000000001,71.54573170731707,437.0,6.107981420718455,0.24210526315789474,heel,26.0,11.0,3,R,61
52.0,111.25,498.40000000000003,95.84615384615385,431.0,4.496789727126806,0.2845849802371542,heel,26.0,10.5,3,L,62
97.0,139.75,834.45,86.02577319587628,355.0,4.126670261849123,0.2608695652173913,heel,26.5,11.5,3,R,63
86.0,144.75,806.9000000000001,93.82558139534885,369.0,3.9328293468831323,0.24385964912280703,heel,26.0,11.0,3,R,64
60.75,126.5,584.9250000000001,96.28395061728396,273.0,2.835363508142069,0.24818840579710144,forefoot,26.5,10.5,3,L,65
53.25,123.5,645.375,121.19718309859155,803.0,6.6255665310865774,0.25136612021857924,forefoot,28.5,12.5,3,R,66
66.0,135.25,788.1500000000001,119.41666666666669,382.0,3.1988834612700625,0.2570921985815603,forefoot,27.5,10.5,3,L,67
61.5,127.0,620.1750000000001,100.84146341463416,470.0,4.6607812311041235,0.24464285714285713,forefoot,26.0,11.0,3,R,68
81.5,140.5,978.1500000000001,120.01840490797548,775.0,6.457342943311352,0.25806451612903225,heel,28.0,10.0,3,L,69
77.25,135.5,615.45,79.66990291262135,347.0,4.3554716061418475,0.25,heel,27.0,10.5,3,R,71
65.5,131.75,581.85,88.83206106870229,280.0,3.152015124172897,0.26394052044609667,heel,27.0,10.0,3,L,72
